numberrange1,country,cvv,name,normaldist,date
9,Afghanistan,236,Martin,9,17.6.2022
4,Slovenia,316,Morgan,3,27.7.2023
10,Austria,751,Conan,1,29.9.2021
6,Afghanistan,425,Hector,10,18.12.2021
11,Austria,627,Lynn,3,13.4.2026
5,Afghanistan,878,Zeus,14,25.8.2026
11,Slovakia,640,Cassady,9,13.11.2021
9,Austria,612,Alfonso,15,20.5.2021
3,Albania,560,Thor,18,18.11.2024
10,Slovakia,291,Illiana,1,21.10.2026
1,Slovenia,307,Karyn,13,19.2.2022
3,Albania,116,Ezra,19,12.3.2025
4,Albania,674,Azalia,5,7.4.2026
5,Slovenia,327,Maxine,17,3.5.2024
0,Albania,268,Dai,14,9.2.2021
9,Afghanistan,767,Baker,13,10.5.2027
9,Australia,385,Stacey,4,14.2.2027
2,Slovenia,428,Herman,2,27.4.2023
2,Slovakia,316,Rina,10,21.12.2026
5,Australia,331,Aspen,17,7.7.2024
1,Slovakia,201,Joan,8,22.10.2021
2,Slovenia,939,Beck,7,5.3.2021
9,Albania,844,Gannon,16,27.12.2027
1,Austria,585,Ferris,11,4.2.2022
3,Australia,135,Dominic,3,3.1.2023
9,Austria,941,Ishmael,8,15.6.2026
10,Australia,625,Yolanda,18,2.8.2025
1,Afghanistan,735,Madaline,20,26.1.2025
0,Albania,707,Lucian,13,8.8.2024
4,Slovakia,635,Jacob,2,11.3.2023
0,Slovakia,971,Lars,18,24.11.2025
6,Albania,784,Camilla,15,27.5.2027
6,Austria,904,Wayne,4,3.12.2024
1,Afghanistan,409,Odette,12,5.4.2022
6,Albania,167,Kasper,17,8.2.2021
1,Albania,396,Leah,13,9.1.2028
8,Afghanistan,888,Talon,13,3.9.2024
10,Austria,336,Craig,3,14.10.2024
1,Australia,588,Zane,13,13.2.2024
5,Australia,646,Daria,16,20.4.2022
11,Afghanistan,591,Branden,1,30.6.2025
8,Australia,583,Gemma,20,16.11.2027
6,Albania,282,Solomon,13,19.3.2022
5,Slovakia,473,Serina,18,14.9.2026
1,Australia,641,Kai,10,13.6.2027
9,Afghanistan,620,Zachary,1,28.5.2024
11,Albania,723,Dexter,15,24.6.2022
6,Albania,464,Steel,18,21.2.2021
4,Australia,308,Kaitlin,13,15.4.2021
5,Afghanistan,657,Adara,5,28.12.2021
6,Australia,291,Avye,14,2.7.2025
7,Slovenia,778,Magee,0,10.11.2025
2,Albania,620,Dacey,9,1.3.2025
5,Albania,937,Nolan,6,28.6.2023
0,Afghanistan,204,Iona,2,1.7.2025
2,Slovakia,596,Olympia,6,11.6.2027
2,Slovakia,851,Allistair,14,23.5.2021
2,Slovenia,555,Macaulay,2,3.6.2023
6,Albania,245,Orson,10,18.9.2026
5,Albania,552,Adena,13,6.9.2025
6,Afghanistan,131,Elliott,15,26.12.2022
6,Austria,173,Zelda,1,25.4.2021
11,Afghanistan,725,Jaden,3,28.10.2023
2,Australia,860,Daquan,7,10.8.2023
4,Slovakia,988,Olga,11,21.12.2024
0,Austria,703,Uma,8,7.3.2025
8,Slovakia,239,Chase,6,3.11.2027
8,Albania,959,Abdul,12,24.7.2026
6,Slovakia,809,Rosalyn,5,18.3.2023
6,Albania,430,Kadeem,7,3.12.2022
5,Albania,946,Reuben,14,16.7.2025
3,Afghanistan,975,Jacqueline,1,22.3.2022
7,Austria,183,Malachi,6,21.1.2027
9,Slovenia,483,Zachary,7,22.2.2028
10,Australia,608,Anne,0,16.8.2024
1,Afghanistan,948,McKenzie,9,22.4.2021
3,Albania,671,Shea,12,8.1.2025
11,Afghanistan,200,Isadora,0,20.9.2021
10,Afghanistan,639,Hoyt,15,6.12.2025
7,Australia,674,Elijah,1,20.7.2021
8,Australia,147,Charissa,8,12.10.2022
2,Australia,207,Marny,3,2.1.2028
4,Slovenia,132,Brenden,9,21.2.2021
8,Albania,971,Caesar,5,6.12.2025
5,Slovakia,131,Florence,14,4.9.2026
1,Slovenia,699,Rinah,5,18.12.2022
2,Austria,280,Chiquita,5,6.1.2023
7,Albania,554,Amber,12,9.9.2024
9,Australia,952,Keegan,9,30.9.2027
8,Albania,670,Hayley,6,12.8.2022
3,Austria,911,Kay,16,4.10.2026
9,Afghanistan,645,Abdul,4,11.5.2025
9,Austria,901,Rinah,8,10.7.2023
9,Slovakia,946,Scarlett,18,13.4.2027
9,Australia,645,Brooke,12,1.7.2021
7,Slovakia,447,Kitra,9,3.2.2023
9,Slovakia,525,Cecilia,6,24.12.2022
9,Slovenia,311,Herrod,14,13.4.2024
0,Slovenia,474,Hunter,8,22.2.2028
8,Austria,208,Rebekah,0,3.3.2022
8,Slovenia,475,Zelenia,5,10.6.2027
2,Albania,401,Teegan,15,12.12.2021
9,Australia,790,Dalton,3,4.4.2024
7,Australia,674,Berk,11,1.5.2023
5,Albania,715,Alan,13,14.7.2024
9,Australia,748,Gretchen,18,19.10.2021
8,Afghanistan,581,Adria,5,17.4.2025
3,Albania,380,Merritt,5,16.12.2022
10,Austria,554,Tanner,8,11.6.2027
7,Afghanistan,279,Emerald,1,8.4.2025
10,Afghanistan,939,Orla,5,31.7.2025
0,Slovakia,155,Cody,17,17.1.2021
6,Afghanistan,943,Portia,17,29.11.2025
9,Afghanistan,709,Hanna,13,26.9.2027
0,Australia,848,Caleb,3,6.10.2027
4,Australia,250,Caleb,12,2.12.2022
1,Albania,532,Chelsea,4,6.10.2026
1,Slovenia,796,Piper,8,2.8.2027
1,Slovenia,555,Madison,8,14.9.2024
8,Australia,797,Ulysses,1,23.1.2021
9,Australia,425,Julian,2,28.8.2026
11,Afghanistan,574,Lucas,3,26.9.2027
8,Austria,299,Jane,3,31.12.2021
9,Austria,458,Meredith,20,4.7.2024
10,Albania,652,Yvonne,16,26.2.2026
4,Slovakia,831,Yeo,16,6.10.2024
10,Slovenia,799,Montana,12,18.3.2026
10,Australia,745,Patrick,1,19.4.2025
7,Afghanistan,227,Alexis,12,7.9.2027
3,Slovenia,341,Wendy,16,9.3.2026
4,Slovakia,311,Megan,7,18.9.2026
5,Slovakia,841,Noel,4,11.6.2024
10,Slovenia,163,Ethan,20,29.11.2022
4,Slovakia,699,Cassady,17,18.7.2027
8,Slovakia,312,Sharon,9,11.9.2026
7,Australia,542,Susan,6,3.10.2025
8,Slovenia,888,Xena,11,2.4.2027
4,Austria,657,Julie,12,11.11.2024
3,Afghanistan,726,Donovan,18,12.1.2025
3,Slovenia,701,Gary,6,25.10.2021
8,Austria,884,Keiko,17,25.7.2021
2,Slovenia,333,Seth,1,20.8.2024
0,Austria,193,Catherine,2,9.12.2026
6,Albania,485,Keelie,12,14.1.2023
8,Afghanistan,471,Jacob,19,25.6.2024
1,Australia,713,Nomlanga,5,7.5.2024
3,Albania,248,Byron,13,11.4.2027
11,Afghanistan,487,Veda,5,20.1.2028
10,Austria,809,McKenzie,2,13.4.2023
9,Albania,597,Brody,15,2.1.2024
